City,Average of Latitude,Average of Longitude,Average of PostCode,State,StateCode,Suburb
Adelaide,-13.226806,131.098416,846.00,Northern Territory,NT,Adelaide River
Adelaide,-35.076282,138.593723,5159.00,South Australia,SA,Aberfoyle Park
Adelaide,-35.0812316,139.138972,5490.00,South Australia,SA,Adelaide
Adelaide,-34.947669,138.531617,5950.00,South Australia,SA,Adelaide Airport
Adelaide,-34.919398,138.60351,5005.00,South Australia,SA,Adelaide University
Adelaide,-34.156899,137.742805,5558.00,South Australia,SA,Agery
Adelaide,-34.878311,138.521348,5014.00,South Australia,SA,Albert Park
Adelaide,-34.85922,138.51953,5014.00,South Australia,SA,Alberton
Adelaide,-35.014141,138.733092,5154.00,South Australia,SA,Aldgate
Adelaide,-35.267326,138.483136,5173.00,South Australia,SA,Aldinga
Adelaide,-35.278875,138.461803,5173.00,South Australia,SA,Aldinga Beach
Adelaide,-34.904334,138.555148,5009.00,South Australia,SA,Allenby Gardens
Adelaide,-34.266619,138.630864,5401.00,South Australia,SA,Alma
Adelaide,-33.717096,138.553465,5464.00,South Australia,SA,Anama
Adelaide,-30.449401,137.163989,5722.00,South Australia,SA,Andamooka
Adelaide,-33.598997,138.631237,5454.00,South Australia,SA,Andrews
Adelaide,-34.671461,138.666778,5114.00,South Australia,SA,Andrews Farm
Adelaide,-34.859133,138.560673,5010.00,South Australia,SA,Angle Park
Adelaide,-34.641224,138.643948,5117.00,South Australia,SA,Angle Vale
Adelaide,-33.928076,138.937581,5413.00,South Australia,SA,Apoinga
Adelaide,-34.422953,137.916805,5571.00,South Australia,SA,Ardrossan
Adelaide,-33.836794,138.57943,5453.00,South Australia,SA,Armagh
Adelaide,-33.911901,136.568345,5603.00,South Australia,SA,Arno Bay
Adelaide,-34.257529,137.7564,5572.00,South Australia,SA,Arthurton
Adelaide,-34.986929,138.564635,5043.00,South Australia,SA,Ascot Park
Adelaide,-35.282825,138.770184,5157.00,South Australia,SA,Ashbourne
Adelaide,-34.948705,138.57395,5035.00,South Australia,SA,Ashford
Adelaide,-34.939733,138.73739,5137.00,South Australia,SA,Ashton
Adelaide,-34.869798,138.702852,5076.00,South Australia,SA,Athelstone
Adelaide,-34.857676,138.542627,5012.00,South Australia,SA,Athol Park
Adelaide,-34.028001,138.681644,5451.00,South Australia,SA,Auburn
Adelaide,-34.919717,138.684397,5072.00,South Australia,SA,Auldana
Adelaide,-34.281161,138.338749,5501.00,South Australia,SA,Avon
Adelaide,-33.142057,134.362438,5671.00,South Australia,SA,Baird Bay
Adelaide,-34.65657,139.779968,5354.00,South Australia,SA,Bakara
Adelaide,-34.603514,139.875058,5354.00,South Australia,SA,Bakara Well
Adelaide,-34.147422,138.415626,5461.00,South Australia,SA,Balaklava
Adelaide,-35.495827,138.39325,5203.00,South Australia,SA,Bald Hills
Adelaide,-33.654798,139.05502,5417.00,South Australia,SA,Baldina
Adelaide,-34.812061,138.724522,5091.00,South Australia,SA,Banksia Park
Adelaide,-34.345014,138.589904,5460.00,South Australia,SA,Barabba
Adelaide,-33.764419,138.635081,5453.00,South Australia,SA,Barinia
Adelaide,-33.183815,136.619341,5641.00,South Australia,SA,Barna
Adelaide,-31.795825,138.357939,5434.00,South Australia,SA,Barndioota
Adelaide,-33.828679,138.124671,5520.00,South Australia,SA,Barunga Gap
Adelaide,-34.947265,138.764194,5138.00,South Australia,SA,Basket Range
Adelaide,-34.950576,138.661084,5066.00,South Australia,SA,Beaumont
Adelaide,-35.019843,138.568127,5042.00,South Australia,SA,Bedford Park
Adelaide,-34.997952,138.622116,5052.00,South Australia,SA,Belair
Adelaide,-35.032941,138.586754,5050.00,South Australia,SA,Bellevue Heights
Adelaide,-30.814875,138.40378,5730.00,South Australia,SA,Beltana
Adelaide,-32.2264,138.709657,5432.00,South Australia,SA,Belton
Adelaide,-33.792848,138.55583,5453.00,South Australia,SA,Benbournie
Adelaide,-34.91772,138.643572,5067.00,South Australia,SA,Beulah Park
Adelaide,-34.892752,138.546936,5009.00,South Australia,SA,Beverley
Adelaide,-34.641308,138.769002,5118.00,South Australia,SA,Bibaringa
Adelaide,-35.072031,138.782207,5153.00,South Australia,SA,Biggs Flat
Adelaide,-34.840209,138.496803,5015.00,South Australia,SA,Birkenhead
Adelaide,-34.963716,138.575989,5035.00,South Australia,SA,Black Forest
Adelaide,-34.615191,137.904181,5571.00,South Australia,SA,Black Point
Adelaide,-33.896975,138.889728,5413.00,South Australia,SA,Black Springs
Adelaide,-35.021155,138.616756,5051.00,South Australia,SA,Blackwood
Adelaide,-34.858531,138.600915,5084.00,South Australia,SA,Blair Athol
Adelaide,-34.86619,138.592615,5084.00,South Australia,SA,Blair Athol West
Adelaide,-34.681959,138.702505,5114.00,South Australia,SA,Blakeview
Adelaide,-34.351995,139.614036,5357.00,South Australia,SA,Blanchetown
Adelaide,-35.163536,138.592337,5171.00,South Australia,SA,Blewitt Springs
Adelaide,-31.102041,138.682756,5730.00,South Australia,SA,Blinman
Adelaide,-34.732992,137.480834,5575.00,South Australia,SA,Bluff Beach
Adelaide,-33.845511,138.490294,5462.00,South Australia,SA,Blyth
Adelaide,-32.58066,135.054861,5655.00,South Australia,SA,Bockelberg
Adelaide,-33.850431,138.555668,5453.00,South Australia,SA,Boconnoc Park
