AECGRegion,AgeID,ASGSRemoteness,Average of Average of Latitude,Average of Average of Longitude,Average of Average of PostCode,Day,Day_4,DistanceEducation,District,Electorate,EnglishCentre,Fax,FederalElectorate,ICSEA_Value,indigenous_pct,LateOpeningSchool,lbote_pct,lga,LocalHealthDistrict,Month,Month_3,OperationalDirectorate,OpportunityClass,Phone,Preschool,PrincipalNetwork,Quarter,Quarter_2,SchoolCode,SchoolEmail,SchoolGender,SchoolLevel,SchoolName,SchoolSpecialtyType,SchoolSubtype,SelectiveSchool,Street,StudentNumber,Suburb,SupportClasses,Year,Year_1
"",1,"",,,2070.00,3,,No,"",Not Known,No,"",Not Known,,"",No,"",Ku-ring-gai (A),"",July,"",Unassigned,No,"",Yes,Unassigned,Qtr 3,"",1,"",Co-Ed,Central/Community School,Lindfield Learning Village,Comprehensive,Kinder to Year 12,Not Selective,99 Eton Road,,Lindfield,"",2017,
"",1,"",-33.79628624,150.6769558,2745.00,3,27,No,Western Sydney & Nepean Blue Mountains,Mulgoa,No,02 4733 0644,Lindsay,,"",No,"",Penrith (C),Nepean Blue Mountains,July,January,Ultimo,No,"",No,Macarthur,Qtr 3,Qtr 1,1,fernhill-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Fernhill School,Comprehensive,Medium / High Support needs,Not Selective,12-40 Ridgetop Drive Glenmore Park 2745,,"","",2017,2017
Central Coast,1,Inner Regional Australia,-33.358368,151.291312,2250.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4372 1542,Robertson,981,np,No,np,Gosford (C),Central Coast,July,August,Macquarie Park,No,4372 1233,No,Wyong,Qtr 3,Qtr 3,1,somersby-p.school@det.nsw.edu.au,Co-Ed,Primary School,Somersby Public School,Comprehensive,Kinder to Year 6,Not Selective,Wisemans Ferry Rd,68,Gosford,"",2017,1893
Central Coast,1,Inner Regional Australia,-33.295626,151.244425,2250.00,3,9,No,Hunter New England & Central Coast,Gosford,No,4373 1051,Robertson,947,np,No,21,Gosford (C),Central Coast,July,January,Macquarie Park,No,4373 1156,No,Wyong,Qtr 3,Qtr 1,1,centmangro-p.school@det.nsw.edu.au,Co-Ed,Primary School,Central Mangrove Public School,Comprehensive,Kinder to Year 6,Not Selective,1708 Wisemans Ferry Rd,73,Central Mangrove,"",2017,1957
Central Coast,1,Inner Regional Australia,-33.325841,151.23275,2250.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4373 1076,Robertson,970,np,No,np,Gosford (C),Central Coast,July,January,Macquarie Park,No,4373 1149,No,Wyong,Qtr 3,Qtr 1,1,peatsridge-p.school@det.nsw.edu.au,Co-Ed,Primary School,Peats Ridge Public School,Comprehensive,Kinder to Year 6,Not Selective,1231 Peats Ridge Road,43,Peats Ridge,"",2017,1931
Central Coast,1,Inner Regional Australia,-33.232582,151.216011,2250.00,3,4,No,Hunter New England & Central Coast,Gosford,No,4376 1109,Robertson,978,np,No,17,Gosford (C),Central Coast,July,January,Macquarie Park,No,4376 1264,No,Wyong,Qtr 3,Qtr 1,1,kulnura-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kulnura Public School,Comprehensive,Kinder to Year 6,Not Selective,9 Williams Rd,58,Kulnura,"",2017,1928
Central Coast,1,Inner Regional Australia,-33.239937,151.380052,2259.00,3,1,No,Hunter New England & Central Coast,Wyong,No,4355 1401,Dobell,972,9,No,np,Wyong (A),Central Coast,July,May,Macquarie Park,No,4355 1240,No,Wyong,Qtr 3,Qtr 2,1,jilliby-p.school@det.nsw.edu.au,Co-Ed,Primary School,Jilliby Public School,Comprehensive,Kinder to Year 6,Not Selective,Jilliby Rd,70,Wyong,"",2017,1889
Central Coast,1,Major Cities of Australia,-33.420757,151.334496,2250.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4323 2685,Robertson,1002,5,No,19,Gosford (C),Central Coast,July,January,Macquarie Park,No,4325 7754,No,Gosford,Qtr 3,Qtr 1,1,henrykenda-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Henry Kendall High School,Comprehensive,Year 7 to Year 12,Not Selective,Faunce St,750.6,Gosford,"",2017,1970
Central Coast,1,Major Cities of Australia,-33.417183,151.341388,2250.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4323 3175,Robertson,1153,2,No,35,Gosford (C),Central Coast,July,January,Macquarie Park,No,4325 2048,No,Gosford,Qtr 3,Qtr 1,1,gosford-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Gosford High School,Comprehensive,Year 7 to Year 12,Fully Selective,Racecourse Rd,1092.4,Gosford,"",2017,1929
Central Coast,1,Major Cities of Australia,-33.443519,151.327734,2250.00,3,5,No,Hunter New England & Central Coast,Gosford,No,4323 4983,Robertson,1039,4,No,11,Gosford (C),Central Coast,July,January,Macquarie Park,No,4325 0594,No,Gosford,Qtr 3,Qtr 1,1,pointclare-p.school@det.nsw.edu.au,Co-Ed,Primary School,Point Clare Public School,Comprehensive,Kinder to Year 6,Not Selective,Takari Ave,504,Point Clare,"",2017,1955
Central Coast,1,Major Cities of Australia,-33.40658,151.335729,2250.00,3,9,No,Hunter New England & Central Coast,Gosford,No,4323 6326,Robertson,,10,No,6,Gosford (C),Central Coast,July,January,Macquarie Park,No,4325 7783,No,Gosford,Qtr 3,Qtr 1,1,glenvale-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Glenvale School,Comprehensive,Medium / High Support needs,Not Selective,Narara Creek Rd,149,Narara,"",2017,1966
Central Coast,1,Major Cities of Australia,-33.437558,151.348883,2250.00,3,10,No,Hunter New England & Central Coast,Gosford,No,4323 6930,Robertson,1017,4,No,17,Gosford (C),Central Coast,July,January,Macquarie Park,No,4325 2178,No,Gosford,Qtr 3,Qtr 1,1,gosfordest-p.school@det.nsw.edu.au,Co-Ed,Primary School,Gosford East Public School,Comprehensive,Kinder to Year 6,Not Selective,Cnr York & Webb Sts,358,East Gosford,"",2017,1960
