City,Country,Average of PostCode,PropertyMedianValue,State,StateCode,Suburb,UpdatedMonth,UpdatedYear
Albury,Australia,2000.00,1044350,New South Wales,NSW,Dawes Point,6,2017
Albury,Australia,2000.00,1044350,New South Wales,NSW,Haymarket,6,2017
Albury,Australia,2000.00,1044350,New South Wales,NSW,Millers Point,6,2017
Albury,Australia,2000.00,1044350,New South Wales,NSW,Parliament House,6,2017
Bathurst,Australia,2007.00,1051540,New South Wales,NSW,Broadway,6,2017
Bathurst,Australia,2000.00,1044350,New South Wales,NSW,Sydney,6,2017
Bathurst,Australia,2000.00,1044350,New South Wales,NSW,Sydney South,6,2017
Bathurst,Australia,2000.00,1044350,New South Wales,NSW,The Rocks,6,2017
Brisbane,Australia,2007.00,1051540,New South Wales,NSW,Ultimo,6,2017
Broken Hill,Australia,2015.00,945000,New South Wales,NSW,Alexandria,6,2017
Broken Hill,Australia,2015.00,945000,New South Wales,NSW,Beaconsfield,6,2017
Broken Hill,Australia,2008.00,1052500,New South Wales,NSW,Chippendale,6,2017
Broken Hill,Australia,2010.00,1250000,New South Wales,NSW,Darlinghurst,6,2017
Broken Hill,Australia,2008.00,1052500,New South Wales,NSW,Darlington,6,2017
Broken Hill,Australia,2011.00,850000,New South Wales,NSW,Elizabeth Bay,6,2017
Broken Hill,Australia,2015.00,945000,New South Wales,NSW,Eveleigh,6,2017
Broken Hill,Australia,2011.00,850000,New South Wales,NSW,Hmas Kuttabul,6,2017
Broken Hill,Australia,2011.00,850000,New South Wales,NSW,Potts Point,6,2017
Broken Hill,Australia,2009.00,985000,New South Wales,NSW,Pyrmont,6,2017
Broken Hill,Australia,2016.00,1120000,New South Wales,NSW,Redfern,6,2017
Broken Hill,Australia,2011.00,850000,New South Wales,NSW,Rushcutters Bay,6,2017
Broken Hill,Australia,2010.00,1250000,New South Wales,NSW,Surry Hills,6,2017
Broken Hill,Australia,2017.00,910000,New South Wales,NSW,Waterloo,6,2017
Broken Hill,Australia,2011.00,850000,New South Wales,NSW,Woolloomooloo,6,2017
Broken Hill,Australia,2017.00,910000,New South Wales,NSW,Zetland,6,2017
Coffs Harbour,Australia,2019.00,1070000,New South Wales,NSW,Banksmeadow,6,2017
Coffs Harbour,Australia,2019.00,1070000,New South Wales,NSW,Botany,6,2017
Coffs Harbour,Australia,2018.00,800000,New South Wales,NSW,Rosebery,6,2017
Dubbo,Australia,2022.00,1310000,New South Wales,NSW,Bondi Junction,6,2017
Dubbo,Australia,2022.00,1310000,New South Wales,NSW,Bondi Junction Plaza,6,2017
Dubbo,Australia,2020.00,1057500,New South Wales,NSW,Mascot,6,2017
Dubbo,Australia,2021.00,2100000,New South Wales,NSW,Moore Park,6,2017
Dubbo,Australia,2021.00,2100000,New South Wales,NSW,Paddington,6,2017
Dubbo,Australia,2020.00,1057500,New South Wales,NSW,Sydney Domestic Airport,6,2017
Dubbo,Australia,2020.00,1057500,New South Wales,NSW,Sydney International Airport,6,2017
Goulburn,Australia,2023.00,1385000,New South Wales,NSW,Bellevue Hill,6,2017
Goulburn,Australia,2022.00,1310000,New South Wales,NSW,Queens Park,6,2017
Grafton,Australia,2024.00,1350000,New South Wales,NSW,Bronte,6,2017
Grafton,Australia,2024.00,1350000,New South Wales,NSW,Waverley,6,2017
Grafton,Australia,2025.00,2006000,New South Wales,NSW,Woollahra,6,2017
Griffith,Australia,2026.00,1345000,New South Wales,NSW,Bondi,6,2017
Griffith,Australia,2026.00,1345000,New South Wales,NSW,Bondi Beach,6,2017
Maitland,Australia,2027.00,1915000,New South Wales,NSW,Darling Point,6,2017
Maitland,Australia,2027.00,1915000,New South Wales,NSW,Edgecliff,6,2017
Maitland,Australia,2027.00,1915000,New South Wales,NSW,Hmas Rushcutters,6,2017
Maitland,Australia,2026.00,1345000,New South Wales,NSW,North Bondi,6,2017
Maitland,Australia,2027.00,1915000,New South Wales,NSW,Point Piper,6,2017
Maitland,Australia,2026.00,1345000,New South Wales,NSW,Tamarama,6,2017
Newcastle,Australia,2028.00,2230000,New South Wales,NSW,Double Bay,6,2017
Newcastle,Australia,2030.00,1500000,New South Wales,NSW,Dover Heights,6,2017
Newcastle,Australia,2029.00,1500000,New South Wales,NSW,Rose Bay,6,2017
Not Applicable,Australia,2880.00,95000,New South Wales,NSW,Little Topar,6,2017
Not Applicable,Australia,2880.00,95000,New South Wales,NSW,Milparinka,6,2017
Not Applicable,Australia,2880.00,95000,New South Wales,NSW,Mount Gipps,6,2017
Not Applicable,Australia,2880.00,95000,New South Wales,NSW,Packsaddle,6,2017
Not Applicable,Australia,2880.00,95000,New South Wales,NSW,Silverton,6,2017
Not Applicable,Australia,2880.00,95000,New South Wales,NSW,South Broken Hill,6,2017
Not Applicable,Australia,2880.00,95000,New South Wales,NSW,Stephens Creek,6,2017
Not Applicable,Australia,2880.00,95000,New South Wales,NSW,Tibooburra,6,2017
Queanbeyan,Australia,2030.00,1500000,New South Wales,NSW,Hmas Watson,6,2017
Queanbeyan,Australia,2030.00,1500000,New South Wales,NSW,Rose Bay North,6,2017
Queanbeyan,Australia,2030.00,1500000,New South Wales,NSW,Vaucluse,6,2017
Shoal Bay,Australia,2031.00,1245000,New South Wales,NSW,Clovelly,6,2017
Shoal Bay,Australia,2030.00,1500000,New South Wales,NSW,Watsons Bay,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Aarons Pass,6,2017
Sydney,Australia,2176.00,877000,New South Wales,NSW,Abbotsbury,6,2017
Sydney,Australia,2046.00,1365000,New South Wales,NSW,Abbotsford,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Abercrombie River,6,2017
Sydney,Australia,2325.00,342000,New South Wales,NSW,Aberdare,6,2017
Sydney,Australia,2347.50,,New South Wales,NSW,Aberdeen,12,4034
Sydney,Australia,2350.00,356250,New South Wales,NSW,Aberfoyle,6,2017
Sydney,Australia,2320.00,415000,New South Wales,NSW,Aberglasslyn,6,2017
Sydney,Australia,2326.00,317500,New South Wales,NSW,Abermain,6,2017
Sydney,Australia,2325.00,342000,New South Wales,NSW,Abernethy,6,2017
Sydney,Australia,2350.00,356250,New South Wales,NSW,Abington,6,2017
Sydney,Australia,2476.00,,New South Wales,NSW,Acacia Creek,6,2017
Sydney,Australia,2763.00,772500,New South Wales,NSW,Acacia Gardens,6,2017
Sydney,Australia,2476.00,,New South Wales,NSW,Acacia Plateau,6,2017
Sydney,Australia,2629.00,,New South Wales,NSW,Adaminaby,6,2017
Sydney,Australia,2289.00,675000,New South Wales,NSW,Adamstown,6,2017
Sydney,Australia,2289.00,675000,New South Wales,NSW,Adamstown Heights,6,2017
Sydney,Australia,2729.00,,New South Wales,NSW,Adelong,6,2017
Sydney,Australia,2474.00,329000,New South Wales,NSW,Afterlee,6,2017
Sydney,Australia,2753.00,672500,New South Wales,NSW,Agnes Banks,6,2017
Sydney,Australia,2560.00,593000,New South Wales,NSW,Airds,6,2017
