EntranceType,ExitNumber,Average of Latitude,Average of Longitude,Mode,StationName,StreetName,StreetType
Escalators,2,-33.76896727,150.9072963,Train,Blacktown,Jim Simpson,Lane
Escalators,6,-33.88544474,151.206822,Train,Central,Chalmers,Street
Escalators,3,-33.882672835,151.20655495,Train,Central,Eddy,Avenue
Escalators,,-33.79673649,151.1813641,Train,Chatswood,Orchard,Road
Escalators,,-33.79718558,151.1814287,Train,Chatswood,Post Office,Lane
Escalators,,-33.79705047,151.1805363,Train,Chatswood,Railway,Street
Escalators,,-33.861344075000005,151.210603525,Train,Circular Quay,Alfred,Street
Escalators,,-33.93400343,151.1801133,Train,Domestic,Keith Smith,Avenue
Escalators,,-33.90627864,151.2026934,Train,Green Square,O'Riordan,Street
Escalators,,-33.96651714,151.1019021,Train,Hurstville,Forest,Road
Escalators,,-33.93518102,151.166541,Train,International,Departure,Placeaza
Escalators,,-33.78522361,151.1282249,Train,Macquarie Park,Lane Cove,Road
Escalators,,-33.77731411,151.1182587,Train,Macquarie University,Herring,Road
Escalators,,-33.92315812,151.1873628,Train,Mascot,Bourke,Street
Escalators,,-33.875870475,151.209677,Train,Museum,Elizabeth,Street
Escalators,,-33.87671276,151.2092181,Train,Museum,Liverpool,Street
Escalators,,-33.79451462,151.1379238,Train,North Ryde,Delhi,Road
Escalators,,-33.81757268,151.0045096,Train,Parramatta,Liverpool-Parramatta,T-way
Lift,,-33.96987782,151.1144352,Train,Allawah,Railway,Pedestrain
Lift,,-33.93677457,151.1468602,Train,Arncliffe,Firth,Street
Lift,,-33.93696302,151.1474227,Train,Arncliffe,The Arcade,Others
Lift,,-33.80875941,151.1847201,Train,Artarmon,Hampden,Road
Lift,,-33.88789161,151.1257974,Train,Ashfield,Brown,Street
Lift,,-33.88744211,151.1259581,Train,Ashfield,Station,Street
Lift,,-33.91724884,151.0883372,Train,Belmore,Burwood,Road
Lift,,-32.79947121,151.6581617,Train,Beresfield,Addison,Street
Lift,,-33.94913026,151.0808291,Train,Beverly Hills,King Georges,Road
Lift,3,-33.76775412,150.9079614,Train,Blacktown,First,Avenue
Lift,4,-33.7678292,150.9071472,Train,Blacktown,Old Richmond,Road
