AECGRegion,AgeID,ASGSRemoteness,Year,Quarter,Month,Day,DistanceEducation,District,Electorate,EnglishCentre,Fax,FederalElectorate,Year,Quarter,Month,Day,ICSEA_Value,indigenous_pct,LateOpeningSchool,Average of Latitude,lbote_pct,lga,LocalHealthDistrict,OperationalDirectorate,Average of Longitude,OpportunityClass,Phone,Average of PostCode,preschool,PrincipalNetwork,SchoolCode,SchoolEmail,SchoolGender,SchoolLevel,SchoolName,SchoolSpecialtyType,SchoolSubtype,SelectiveSchool,Street,StudentNumber,Suburb,SupportClasses
,1,,2017,Qtr 3,July,3,No,,Not Known,No,,Not Known,,,,,,,No,,,Ku-ring-gai (A),,Unassigned,,No,,2070.00,Yes,Unassigned,1,,Co-Ed,Central/Community School,Lindfield Learning Village,Comprehensive,Kinder to Year 12,Not Selective,99 Eton Road,,Lindfield,
,1,,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Mulgoa,No,02 4733 0644,Lindsay,2017,Qtr 1,January,27,,,No,-33.79628624,,Penrith (C),Nepean Blue Mountains,Ultimo,150.6769558,No,,2745.00,No,Macarthur,1,fernhill-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Fernhill School,Comprehensive,Medium / High Support needs,Not Selective,12-40 Ridgetop Drive Glenmore Park 2745,,,
Central Coast,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4372 1542,Robertson,1893,Qtr 3,August,1,981,np,No,-33.358368,np,Gosford (C),Central Coast,Macquarie Park,151.291312,No,4372 1233,2250.00,No,Wyong,1,somersby-p.school@det.nsw.edu.au,Co-Ed,Primary School,Somersby Public School,Comprehensive,Kinder to Year 6,Not Selective,Wisemans Ferry Rd,68,Gosford,
Central Coast,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4373 1051,Robertson,1957,Qtr 1,January,9,947,np,No,-33.295626,21,Gosford (C),Central Coast,Macquarie Park,151.244425,No,4373 1156,2250.00,No,Wyong,1,centmangro-p.school@det.nsw.edu.au,Co-Ed,Primary School,Central Mangrove Public School,Comprehensive,Kinder to Year 6,Not Selective,1708 Wisemans Ferry Rd,73,Central Mangrove,
Central Coast,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4373 1076,Robertson,1931,Qtr 1,January,1,970,np,No,-33.325841,np,Gosford (C),Central Coast,Macquarie Park,151.23275,No,4373 1149,2250.00,No,Wyong,1,peatsridge-p.school@det.nsw.edu.au,Co-Ed,Primary School,Peats Ridge Public School,Comprehensive,Kinder to Year 6,Not Selective,1231 Peats Ridge Road,43,Peats Ridge,
Central Coast,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4376 1109,Robertson,1928,Qtr 1,January,4,978,np,No,-33.232582,17,Gosford (C),Central Coast,Macquarie Park,151.216011,No,4376 1264,2250.00,No,Wyong,1,kulnura-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kulnura Public School,Comprehensive,Kinder to Year 6,Not Selective,9 Williams Rd,58,Kulnura,
Central Coast,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Wyong,No,4355 1401,Dobell,1889,Qtr 2,May,1,972,9,No,-33.239937,np,Wyong (A),Central Coast,Macquarie Park,151.380052,No,4355 1240,2259.00,No,Wyong,1,jilliby-p.school@det.nsw.edu.au,Co-Ed,Primary School,Jilliby Public School,Comprehensive,Kinder to Year 6,Not Selective,Jilliby Rd,70,Wyong,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4323 2685,Robertson,1970,Qtr 1,January,1,1002,5,No,-33.420757,19,Gosford (C),Central Coast,Macquarie Park,151.334496,No,4325 7754,2250.00,No,Gosford,1,henrykenda-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Henry Kendall High School,Comprehensive,Year 7 to Year 12,Not Selective,Faunce St,750.6,Gosford,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4323 3175,Robertson,1929,Qtr 1,January,1,1153,2,No,-33.417183,35,Gosford (C),Central Coast,Macquarie Park,151.341388,No,4325 2048,2250.00,No,Gosford,1,gosford-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Gosford High School,Comprehensive,Year 7 to Year 12,Fully Selective,Racecourse Rd,1092.4,Gosford,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4323 4983,Robertson,1955,Qtr 1,January,5,1039,4,No,-33.443519,11,Gosford (C),Central Coast,Macquarie Park,151.327734,No,4325 0594,2250.00,No,Gosford,1,pointclare-p.school@det.nsw.edu.au,Co-Ed,Primary School,Point Clare Public School,Comprehensive,Kinder to Year 6,Not Selective,Takari Ave,504,Point Clare,
