Country,State,StateCode,City,Suburb,Average of PostCode,PropertyMedianValue,Average of Average of Latitude,Average of Average of Longitude,UpdatedMonth,UpdatedYear
Australia,Australian Capital Territory,ACT,Canberra,Acton,2601,0,-35.282087,149.108716,0,0
Australia,Australian Capital Territory,ACT,Canberra,Ainslie,2602,0,-35.262153,149.145893,0,0
Australia,Australian Capital Territory,ACT,Canberra,Amaroo,2914,0,-35.170334,149.125877,0,0
Australia,Australian Capital Territory,ACT,Canberra,Aranda,2614,0,-35.257964,149.075648,0,0
Australia,Australian Capital Territory,ACT,Canberra,Australian National University,200,0,-35.277272,149.117136,0,0
Australia,Australian Capital Territory,ACT,Canberra,Banks,2906,0,-35.522639,149.08098,0,0
Australia,Australian Capital Territory,ACT,Canberra,Barton,1410,0,-35.25786,149.116049,0,0
Australia,Australian Capital Territory,ACT,Canberra,Belconnen,2616,0,-35.242338000000004,149.06884150000002,0,0
Australia,Australian Capital Territory,ACT,Canberra,Black Mountain,2601,0,-35.274967,149.097654,0,0
Australia,Australian Capital Territory,ACT,Canberra,Bonner,2914,0,-35.164311,149.13395,0,0
Australia,Australian Capital Territory,ACT,Canberra,Bonython,2905,0,-35.429018,149.081746,0,0
Australia,Australian Capital Territory,ACT,Canberra,Braddon,2612,0,-35.270615,149.133208,0,0
Australia,Australian Capital Territory,ACT,Canberra,Bruce,2617,0,-35.242534,149.077275,0,0
Australia,Australian Capital Territory,ACT,Canberra,Calwell,2905,0,-35.43528,149.11229,0,0
Australia,Australian Capital Territory,ACT,Canberra,Campbell,2612,0,-35.290006,149.153091,0,0
Australia,Australian Capital Territory,ACT,Canberra,Canberra,2600,0,-35.3045965,149.120471,0,0
Australia,Australian Capital Territory,ACT,Canberra,Canberra International Airport,2609,0,-35.303411,149.194007,0,0
Australia,Australian Capital Territory,ACT,Canberra,Causeway,2604,0,-35.317703,149.150133,0,0
Australia,Australian Capital Territory,ACT,Canberra,Chapman,2611,0,-35.356503,149.042021,0,0
Australia,Australian Capital Territory,ACT,Canberra,Charnwood,2615,0,-35.199345,149.030062,0,0
Australia,Australian Capital Territory,ACT,Canberra,Chifley,2606,0,-35.353521,149.079546,0,0
Australia,Australian Capital Territory,ACT,Canberra,Chisholm,2905,0,-35.424193,149.122569,0,0
Australia,Australian Capital Territory,ACT,Canberra,Civic Square,2608,0,-35.282868,149.129372,0,0
Australia,Australian Capital Territory,ACT,Canberra,Conder,2906,0,-35.456295,149.094031,0,0
Australia,Australian Capital Territory,ACT,Canberra,Cook,2614,0,-35.260549,149.064613,0,0
Australia,Australian Capital Territory,ACT,Canberra,Crace,2911,0,-35.218473,149.124813,0,0
Australia,Australian Capital Territory,ACT,Canberra,Curtin,2605,0,-35.32454,149.075667,0,0
Australia,Australian Capital Territory,ACT,Canberra,Deakin,2600,0,-35.315246,149.108714,0,0
Australia,Australian Capital Territory,ACT,Canberra,Deakin West,2600,0,-35.326172,149.09186,0,0
Australia,Australian Capital Territory,ACT,Canberra,Dickson,2602,0,-35.25113,149.140293,0,0
Australia,Australian Capital Territory,ACT,Canberra,Downer,2602,0,-35.243223,149.14309,0,0
Australia,Australian Capital Territory,ACT,Canberra,Duffy,2611,0,-35.337331,149.031759,0,0
Australia,Australian Capital Territory,ACT,Canberra,Dunlop,2615,0,-35.198771,149.017199,0,0
Australia,Australian Capital Territory,ACT,Canberra,Duntroon,2600,0,-35.303194,149.161688,0,0
Australia,Australian Capital Territory,ACT,Canberra,Erindale Centre,2903,0,-35.403016,149.097207,0,0
Australia,Australian Capital Territory,ACT,Canberra,Evatt,2617,0,-35.214897,149.065527,0,0
Australia,Australian Capital Territory,ACT,Canberra,Fadden,2904,0,-35.400996,149.115023,0,0
Australia,Australian Capital Territory,ACT,Canberra,Farrer,2607,0,-35.375443,149.10095,0,0
Australia,Australian Capital Territory,ACT,Canberra,Fisher,2611,0,-35.361906,149.056369,0,0
Australia,Australian Capital Territory,ACT,Canberra,Florey,2615,0,-35.226376,149.051672,0,0
Australia,Australian Capital Territory,ACT,Canberra,Flynn,2615,0,-35.200937,149.049519,0,0
Australia,Australian Capital Territory,ACT,Canberra,Forde,2914,0,-35.164368,149.147539,0,0
Australia,Australian Capital Territory,ACT,Canberra,Forrest,2603,0,-35.31848,149.124096,0,0
Australia,Australian Capital Territory,ACT,Canberra,Franklin,2913,0,-35.201802,149.132349,0,0
Australia,Australian Capital Territory,ACT,Canberra,Fraser,2615,0,-35.192811,149.042736,0,0
Australia,Australian Capital Territory,ACT,Canberra,Fyshwick,2609,0,-35.328937,149.176391,0,0
Australia,Australian Capital Territory,ACT,Canberra,Garran,2605,0,-35.345268,149.103604,0,0
Australia,Australian Capital Territory,ACT,Canberra,Gilmore,2905,0,-35.416056,149.134017,0,0
Australia,Australian Capital Territory,ACT,Canberra,Ginninderra Village,2913,0,-35.191111,149.084139,0,0
Australia,Australian Capital Territory,ACT,Canberra,Giralang,2617,0,-35.209934,149.098783,0,0
Australia,Australian Capital Territory,ACT,Canberra,Gordon,2906,0,-35.450547,149.083449,0,0
Australia,Australian Capital Territory,ACT,Canberra,Gowrie,2904,0,-35.413419,149.108473,0,0
Australia,Australian Capital Territory,ACT,Canberra,Greenway,2900,0,-35.417991,149.069414,0,0
Australia,Australian Capital Territory,ACT,Canberra,Griffith,2603,0,-35.328248,149.141658,0,0
Australia,Australian Capital Territory,ACT,Canberra,Gungahlin,2912,0,-35.522639,149.08098,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hackett,2602,0,-35.251175,149.163647,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hall,2618,0,-35.522639,149.08098,0,0
Australia,Australian Capital Territory,ACT,Canberra,Harman,2600,0,-35.344592,149.200009,0,0
Australia,Australian Capital Territory,ACT,Canberra,Harrison,2914,0,-35.180788,149.144499,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hawker,2614,0,-35.247384,149.034535,0,0
Australia,Australian Capital Territory,ACT,Canberra,Higgins,2615,0,-35.231052,149.027686,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hmas Creswell,2540,0,-35.129878,150.707521,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hmas Harman,2600,0,-35.347094,149.1994,0,0
Australia,Australian Capital Territory,ACT,Canberra,Holder,2611,0,-35.336947,149.044141,0,0
Australia,Australian Capital Territory,ACT,Canberra,Holt,2615,0,-35.225448,149.016787,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hughes,2605,0,-35.333573,149.094259,0,0
Australia,Australian Capital Territory,ACT,Canberra,Hume,2620,0,-35.381752,149.176445,0,0
Australia,Australian Capital Territory,ACT,Canberra,Isaacs,2607,0,-35.366298,149.112868,0,0
Australia,Australian Capital Territory,ACT,Canberra,Isabella Plains,2905,0,-35.431945,149.092689,0,0
Australia,Australian Capital Territory,ACT,Canberra,Jamison Centre,2614,0,-35.253292,149.071291,0,0
Australia,Australian Capital Territory,ACT,Canberra,Jervis Bay,2540,0,-35.127437,150.707149,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kaleen,2617,0,-35.219211,149.103465,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kambah,2902,0,-35.378876,149.045895,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kingston,2604,0,-35.314775,149.141537,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kippax,2615,0,-35.221958,149.020133,0,0
Australia,Australian Capital Territory,ACT,Canberra,Kowen Forest,2620,0,-35.319673,149.248421,0,0
Australia,Australian Capital Territory,ACT,Canberra,Latham,2615,0,-35.219561,149.032478,0,0
Australia,Australian Capital Territory,ACT,Canberra,Lawson,2617,0,-35.225439,149.100291,0,0
Australia,Australian Capital Territory,ACT,Canberra,Lyneham,2602,0,-35.251866,149.123906,0,0
Australia,Australian Capital Territory,ACT,Canberra,Lyons,2606,0,-35.339514,149.076118,0,0
Australia,Australian Capital Territory,ACT,Canberra,Macarthur,2904,0,-35.408559,149.131961,0,0
